enroll_id,student_id,course_id,semester,grade
1,1001,CS101,2024FA,A-
2,1001,CS301,2025SP,A
3,1001,STAT410,2025SP,
4,1002,STAT201,2024FA,B+
5,1002,STAT301,2025SP,
6,1003,MATH101,2022FA,A
7,1003,MATH240,2023SP,A-
8,1004,CS101,2023FA,B
9,1004,CS201,2024SP,B+
10,1005,STAT201,2024FA,A-
11,1005,STAT301,2025SP,
12,1006,MATH101,2024FA,B-
13,1006,MATH240,2025SP,
14,1007,CS201,2022FA,A
15,1007,CS301,2023SP,A-
16,1008,CS101,2024FA,B
17,1008,STAT201,2025SP,
18,1009,STAT201,2023FA,B+
19,1009,STAT301,2024SP,A-
20,1010,MATH101,2024FA,B+
21,1010,CS101,2025SP,
22,1011,CS201,2023FA,A-
23,1011,STAT410,2024SP,B+
24,1012,STAT201,2022FA,A-
25,1012,STAT301,2023SP,A
